ID,Problem,Instance,SolverId,ConfigId,Solved,Optimally,Objective,NoSolutions,ElapsedSecs,ID,Timeout,SearchType,SPD,MIF,PropRed,LnsProb,LnsIter
1,soft-queens,soft-queens-16.dzn,0,1,1,1,0,2,0.11374727,1,600000,2,0,1,0,0.3,10
2,soft-queens,soft-queens-30.dzn,1,2,1,1,0,2,0.379374965,2,600000,4,0,1,1,0.3,10
3,soft-queens,soft-queens-16.dzn,6,3,1,1,1,4,0.140646509,3,600000,1,0,0,1,0.3,10
4,soft-queens,soft-queens-30.dzn,1,4,1,1,0,1,0.205529206,4,600000,3,1,1,0,0.3,10
5,soft-queens,soft-queens-8.dzn,0,5,1,1,1,4,0.026902319,5,600000,3,0,0,0,0.3,10
6,soft-queens,soft-queens-16.dzn,6,6,1,1,0,5,0.144788407,6,600000,4,1,0,1,0.3,10
7,soft-queens,soft-queens-16.dzn,6,7,1,1,0,2,0.108536863,7,600000,4,1,1,1,0.3,10
8,soft-queens,soft-queens-16.dzn,0,7,1,1,0,2,0.083381288,7,600000,4,1,1,1,0.3,10
9,soft-queens,soft-queens-8.dzn,2,8,1,1,1,1,0.203540119,8,600000,3,0,1,0,0.3,10
10,soft-queens,soft-queens-8.dzn,6,4,1,1,1,1,0.024066281,4,600000,3,1,1,0,0.3,10
11,soft-queens,soft-queens-30.dzn,0,8,1,1,0,1,0.027581375,8,600000,3,0,1,0,0.3,10
12,soft-queens,soft-queens-30.dzn,1,9,1,1,0,2,0.383042182,9,600000,1,1,1,1,0.3,10
13,soft-queens,soft-queens-30.dzn,0,1,1,1,0,2,0.170228561,1,600000,2,0,1,0,0.3,10
14,soft-queens,soft-queens-16.dzn,3,8,1,1,0,1,0.022820019,8,600000,3,0,1,0,0.3,10
15,soft-queens,soft-queens-16.dzn,6,8,1,1,0,1,0.024644418,8,600000,3,0,1,0,0.3,10
16,soft-queens,soft-queens-16.dzn,4,4,0,0,2147483647,0,0.340876468,4,600000,3,1,1,0,0.3,10
17,soft-queens,soft-queens-30.dzn,0,6,1,1,4,2,10.107301407,6,600000,4,1,0,1,0.3,10
18,soft-queens,soft-queens-30.dzn,0,9,1,1,0,2,0.102574606,9,600000,1,1,1,1,0.3,10
19,soft-queens,soft-queens-30.dzn,1,10,1,1,4,2,10.278597038,10,600000,2,0,0,0,0.3,10
20,soft-queens,soft-queens-30.dzn,1,8,1,1,0,1,0.191774535,8,600000,3,0,1,0,0.3,10
21,soft-queens,soft-queens-16.dzn,4,11,1,1,0,4,0.343462913,11,600000,3,1,0,0,0.3,10
22,soft-queens,soft-queens-8.dzn,0,12,1,1,1,5,0.101502331,12,600000,4,0,0,1,0.3,10
23,soft-queens,soft-queens-16.dzn,1,7,1,1,0,2,0.329199852,7,600000,4,1,1,1,0.3,10
24,soft-queens,soft-queens-8.dzn,3,5,1,1,1,5,0.023446216,5,600000,3,0,0,0,0.3,10
25,soft-queens,soft-queens-16.dzn,2,8,1,1,0,1,0.202510036,8,600000,3,0,1,0,0.3,10
26,soft-queens,soft-queens-16.dzn,1,13,1,1,0,2,0.331465169,13,600000,1,0,1,1,0.3,10
27,soft-queens,soft-queens-8.dzn,6,13,1,1,1,2,0.090612905,13,600000,1,0,1,1,0.3,10
28,soft-queens,soft-queens-30.dzn,1,11,1,1,0,4,167.685553621,11,600000,3,1,0,0,0.3,10
29,soft-queens,soft-queens-8.dzn,5,8,1,1,1,1,0.02435524,8,600000,3,0,1,0,0.3,10
30,soft-queens,soft-queens-8.dzn,6,3,1,1,1,4,0.125427482,3,600000,1,0,0,1,0.3,10
31,soft-queens,soft-queens-16.dzn,5,8,1,1,0,1,0.025159519,8,600000,3,0,1,0,0.3,10
32,soft-queens,soft-queens-8.dzn,3,11,1,1,1,4,0.02329551,11,600000,3,1,0,0,0.3,10
33,soft-queens,soft-queens-16.dzn,1,2,1,1,0,2,0.33077725,2,600000,4,0,1,1,0.3,10
34,soft-queens,soft-queens-16.dzn,4,5,1,1,0,4,0.348725618,5,600000,3,0,0,0,0.3,10
35,soft-queens,soft-queens-16.dzn,6,2,1,1,0,2,0.108505902,2,600000,4,0,1,1,0.3,10
36,soft-queens,soft-queens-16.dzn,5,5,1,1,0,5,0.045031899,5,600000,3,0,0,0,0.3,10
37,soft-queens,soft-queens-8.dzn,2,5,1,1,1,1,0.203871127,5,600000,3,0,0,0,0.3,10
38,soft-queens,soft-queens-8.dzn,4,4,1,1,1,1,0.312531439,4,600000,3,1,1,0,0.3,10
39,soft-queens,soft-queens-16.dzn,1,10,1,1,4,3,13.474031159,10,600000,2,0,0,0,0.3,10
40,soft-queens,soft-queens-16.dzn,6,11,1,1,0,4,0.036976143,11,600000,3,1,0,0,0.3,10
41,soft-queens,soft-queens-16.dzn,1,11,1,1,0,4,0.18442771,11,600000,3,1,0,0,0.3,10
42,soft-queens,soft-queens-8.dzn,0,1,1,1,1,2,0.099303633,1,600000,2,0,1,0,0.3,10
43,soft-queens,soft-queens-8.dzn,6,2,1,1,1,2,0.087775267,2,600000,4,0,1,1,0.3,10
44,soft-queens,soft-queens-16.dzn,2,4,1,1,0,1,0.203545967,4,600000,3,1,1,0,0.3,10
45,soft-queens,soft-queens-30.dzn,0,2,1,1,0,2,0.096426595,2,600000,4,0,1,1,0.3,10
46,soft-queens,soft-queens-16.dzn,6,4,1,1,0,1,0.024905569,4,600000,3,1,1,0,0.3,10
47,soft-queens,soft-queens-8.dzn,2,4,1,1,1,1,0.203267839,4,600000,3,1,1,0,0.3,10
48,soft-queens,soft-queens-16.dzn,6,1,1,1,0,2,0.107255637,1,600000,2,0,1,0,0.3,10
49,soft-queens,soft-queens-8.dzn,1,9,1,1,1,2,0.334285306,9,600000,1,1,1,1,0.3,10
50,soft-queens,soft-queens-16.dzn,1,1,1,1,0,2,0.256928681,1,600000,2,0,1,0,0.3,10
51,soft-queens,soft-queens-30.dzn,1,6,1,1,2,3,10.484851427,6,600000,4,1,0,1,0.3,10
52,soft-queens,soft-queens-8.dzn,6,9,1,1,1,2,0.162213582,9,600000,1,1,1,1,0.3,10
53,soft-queens,soft-queens-16.dzn,3,4,1,1,0,1,0.023402287,4,600000,3,1,1,0,0.3,10
54,soft-queens,soft-queens-8.dzn,1,2,1,1,1,2,0.334634899,2,600000,4,0,1,1,0.3,10
55,soft-queens,soft-queens-8.dzn,1,8,1,1,1,1,0.155217641,8,600000,3,0,1,0,0.3,10
56,soft-queens,soft-queens-8.dzn,1,5,1,1,1,4,0.153676112,5,600000,3,0,0,0,0.3,10
57,soft-queens,soft-queens-8.dzn,0,6,1,1,1,4,0.094782906,6,600000,4,1,0,1,0.3,10
58,soft-queens,soft-queens-16.dzn,3,11,1,1,0,5,0.024949763,11,600000,3,1,0,0,0.3,10
59,soft-queens,soft-queens-16.dzn,3,5,1,1,0,5,0.026684369,5,600000,3,0,0,0,0.3,10
60,soft-queens,soft-queens-8.dzn,0,4,1,1,1,1,0.026498576,4,600000,3,1,1,0,0.3,10
61,soft-queens,soft-queens-16.dzn,0,3,1,1,1,5,0.145740342,3,600000,1,0,0,1,0.3,10
62,soft-queens,soft-queens-8.dzn,0,2,1,1,1,2,0.078483727,2,600000,4,0,1,1,0.3,10
63,soft-queens,soft-queens-8.dzn,5,11,1,1,1,3,0.024661871,11,600000,3,1,0,0,0.3,10
64,soft-queens,soft-queens-30.dzn,1,12,1,1,2,4,10.717008992,12,600000,4,0,0,1,0.3,10
65,soft-queens,soft-queens-8.dzn,0,11,1,1,1,3,0.024177924,11,600000,3,1,0,0,0.3,10
66,soft-queens,soft-queens-8.dzn,1,10,1,1,1,4,0.715090515,10,600000,2,0,0,0,0.3,10
67,soft-queens,soft-queens-8.dzn,6,10,1,1,1,4,0.106270579,10,600000,2,0,0,0,0.3,10
68,soft-queens,soft-queens-30.dzn,1,3,1,1,2,4,10.715815819,3,600000,1,0,0,1,0.3,10
69,soft-queens,soft-queens-30.dzn,1,7,1,1,0,2,0.381100615,7,600000,4,1,1,1,0.3,10
70,soft-queens,soft-queens-8.dzn,0,10,1,1,1,4,0.118015157,10,600000,2,0,0,0,0.3,10
71,soft-queens,soft-queens-8.dzn,1,1,1,1,1,3,0.486008595,1,600000,2,0,1,0,0.3,10
72,soft-queens,soft-queens-8.dzn,1,11,1,1,1,3,0.15600153,11,600000,3,1,0,0,0.3,10
