Problem;Instance;SolverId;Solved;Optimally;Objective;NoSolutions;ElapsedSecs;SearchType;SPD;MIF;PropRed
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.099498503;2;0;1;0
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.356989015;4;0;1;1
soft-queens;soft-queens-16.dzn;6;1;1;1;4;0.134706988;1;0;0;1
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.098206026;4;0;1;0
soft-queens;soft-queens-8.dzn;0;1;1;1;5;0.106447192;4;0;0;0
soft-queens;soft-queens-30.dzn;1;1;1;0;1;0.166246534;3;1;1;0
soft-queens;soft-queens-8.dzn;0;1;1;1;4;0.025230658;3;0;0;0
soft-queens;soft-queens-16.dzn;6;1;1;0;5;0.141283147;4;1;0;1
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.106787197;4;1;1;1
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.081824885;4;1;1;1
soft-queens;soft-queens-8.dzn;2;1;1;1;1;0.204502669;3;0;1;0
soft-queens;soft-queens-8.dzn;6;1;1;1;5;0.112946249;4;0;0;0
soft-queens;soft-queens-8.dzn;6;1;1;1;1;0.025788991;3;1;1;0
soft-queens;soft-queens-30.dzn;0;1;1;0;1;0.028845809;3;0;1;0
soft-queens;soft-queens-30.dzn;6;1;1;1;4;0.238602933;2;0;0;0
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.358553071;1;1;1;1
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.15981507;2;0;1;0
soft-queens;soft-queens-16.dzn;3;1;1;0;1;0.024322796;3;0;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;5;0.767169302;4;0;0;0
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.17687796;1;1;1;1
soft-queens;soft-queens-30.dzn;5;1;1;0;1;0.030434886;3;1;1;0
soft-queens;soft-queens-16.dzn;6;1;1;0;1;0.02588647;3;0;1;0
soft-queens;soft-queens-16.dzn;4;0;0;2147483647;0;0.341786931;3;1;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;2;0.317205903;4;0;1;0
soft-queens;soft-queens-30.dzn;0;1;1;4;2;10.102896227;4;1;0;1
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.097172624;1;1;1;1
soft-queens;soft-queens-30.dzn;4;0;0;2147483647;0;0.367279214;3;1;1;0
soft-queens;soft-queens-30.dzn;1;1;1;4;2;10.24734071;2;0;0;0
soft-queens;soft-queens-30.dzn;1;1;1;0;1;0.167221615;3;0;1;0
soft-queens;soft-queens-30.dzn;3;1;1;0;1;0.02655844;3;1;1;0
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.083765715;4;0;1;0
soft-queens;soft-queens-30.dzn;6;1;1;2;3;10.213775047;1;0;0;1
soft-queens;soft-queens-16.dzn;6;1;1;0;5;0.145202333;4;0;0;0
soft-queens;soft-queens-16.dzn;4;1;1;0;4;0.343698907;3;1;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;5;0.099471501;4;0;0;1
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.313523288;4;1;1;1
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.172803679;4;1;1;1
soft-queens;soft-queens-30.dzn;3;1;1;0;5;0.033518405;3;1;0;0
soft-queens;soft-queens-8.dzn;3;1;1;1;5;0.024441807;3;0;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;5;0.703035488;4;0;0;0
soft-queens;soft-queens-16.dzn;2;1;1;0;1;0.204232714;3;0;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.310744461;1;0;1;1
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.087603321;1;0;1;1
soft-queens;soft-queens-30.dzn;1;1;1;0;4;171.353490257;3;1;0;0
soft-queens;soft-queens-8.dzn;5;1;1;1;1;0.02530602;3;0;1;0
soft-queens;soft-queens-8.dzn;6;1;1;1;4;0.105233225;1;0;0;1
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.085481727;4;0;1;0
soft-queens;soft-queens-16.dzn;5;1;1;0;1;0.025342786;3;0;1;0
soft-queens;soft-queens-8.dzn;3;1;1;1;4;0.024202536;3;1;0;0
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.308996504;4;0;1;1
soft-queens;soft-queens-16.dzn;4;1;1;0;4;0.346360677;3;0;0;0
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.10696246;4;0;1;1
soft-queens;soft-queens-16.dzn;5;1;1;0;5;0.045591366;3;0;0;0
soft-queens;soft-queens-8.dzn;2;1;1;1;1;0.203995998;3;0;0;0
soft-queens;soft-queens-30.dzn;3;1;1;0;5;0.033656741;3;0;0;0
soft-queens;soft-queens-8.dzn;4;1;1;1;1;0.314492997;3;1;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;5;8.347244666;2;0;0;0
soft-queens;soft-queens-30.dzn;2;1;1;0;1;0.454487453;3;0;1;0
soft-queens;soft-queens-16.dzn;6;1;1;0;4;0.034901364;3;1;0;0
soft-queens;soft-queens-16.dzn;1;1;1;0;4;0.159540552;3;1;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.087966071;2;0;1;0
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.086608491;4;0;1;1
soft-queens;soft-queens-16.dzn;2;1;1;0;1;0.254008428;3;1;1;0
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.095062669;4;0;1;1
soft-queens;soft-queens-16.dzn;6;1;1;0;1;0.025677364;3;1;1;0
soft-queens;soft-queens-8.dzn;2;1;1;1;1;0.204260592;3;1;1;0
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.100070883;2;0;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;2;0.318096922;1;1;1;1
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.195330175;2;0;1;0
soft-queens;soft-queens-30.dzn;1;1;1;2;3;10.408779767;4;1;0;1
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.089651414;1;1;1;1
soft-queens;soft-queens-16.dzn;0;1;1;0;6;0.14570728;4;0;0;0
soft-queens;soft-queens-16.dzn;3;1;1;0;1;0.024970524;3;1;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;2;0.304231966;4;0;1;1
soft-queens;soft-queens-8.dzn;1;1;1;1;1;0.133031556;3;0;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;4;0.136986624;3;0;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;4;0.091070475;4;1;0;1
soft-queens;soft-queens-30.dzn;2;1;1;0;1;0.505271016;3;1;0;0
soft-queens;soft-queens-16.dzn;3;1;1;0;5;0.026141178;3;1;0;0
soft-queens;soft-queens-30.dzn;6;1;1;0;1;0.028549742;3;0;1;0
soft-queens;soft-queens-16.dzn;3;1;1;0;5;0.026519962;3;0;0;0
soft-queens;soft-queens-30.dzn;6;1;1;2;4;10.238890711;4;0;0;1
soft-queens;soft-queens-30.dzn;3;1;1;0;1;0.028498979;3;0;1;0
soft-queens;soft-queens-8.dzn;0;1;1;1;1;0.024271224;3;1;1;0
soft-queens;soft-queens-16.dzn;0;1;1;1;5;0.134380723;1;0;0;1
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.077533394;4;0;1;1
soft-queens;soft-queens-8.dzn;5;1;1;1;3;0.024928144;3;1;0;0
soft-queens;soft-queens-30.dzn;1;1;1;2;4;10.580464243;4;0;0;1
soft-queens;soft-queens-8.dzn;0;1;1;1;3;0.024794446;3;1;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;4;0.591501612;2;0;0;0
soft-queens;soft-queens-30.dzn;5;1;0;5;1;630.000699874;3;0;0;0
soft-queens;soft-queens-8.dzn;6;1;1;1;4;0.105454013;2;0;0;0
soft-queens;soft-queens-30.dzn;5;1;1;0;1;0.03027445;3;0;1;0
soft-queens;soft-queens-30.dzn;1;1;1;2;4;10.580800076;1;0;0;1
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.352140597;4;1;1;1
soft-queens;soft-queens-8.dzn;0;1;1;1;4;0.106144257;2;0;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;3;0.435883187;2;0;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;3;0.13623451;3;1;0;0
soft-queens;soft-queens-16.dzn;6;1;1;1;4;0.132873716;2;0;0;0
soft-queens;soft-queens-30.dzn;0;1;1;5;2;10.103169955;4;0;0;1
soft-queens;soft-queens-16.dzn;5;1;1;0;1;0.025119039;3;1;1;0
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.076927274;4;1;1;1
soft-queens;soft-queens-30.dzn;1;1;1;2;4;10.581305327;4;0;0;0
soft-queens;soft-queens-16.dzn;2;1;1;0;1;0.203611027;3;1;0;0
soft-queens;soft-queens-16.dzn;0;1;1;1;5;0.14441084;1;1;0;1
soft-queens;soft-queens-30.dzn;1;1;1;0;5;175.052451548;3;0;0;0
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.086421259;4;1;1;1
soft-queens;soft-queens-8.dzn;6;1;1;1;5;0.108663221;4;0;0;1
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.173555834;1;0;1;1
soft-queens;soft-queens-8.dzn;1;1;1;1;2;0.312096329;4;1;1;1
soft-queens;soft-queens-16.dzn;6;1;1;1;4;0.13951566;1;1;0;1
soft-queens;soft-queens-16.dzn;1;1;1;0;1;0.1516639;3;1;1;0
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.110400013;1;1;1;1
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.322631207;1;1;1;1
soft-queens;soft-queens-30.dzn;6;1;1;2;3;10.21809969;1;1;0;1
soft-queens;soft-queens-16.dzn;1;1;1;0;5;0.801727771;1;1;0;1
soft-queens;soft-queens-30.dzn;0;1;1;1;4;0.239425367;2;0;0;0
soft-queens;soft-queens-16.dzn;0;1;1;0;1;0.02490091;3;1;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;1;0.13628968;3;1;1;0
soft-queens;soft-queens-8.dzn;6;1;1;1;3;0.026280413;3;1;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;5;0.717550653;1;0;0;1
soft-queens;soft-queens-16.dzn;2;1;1;0;1;0.203712242;3;0;0;0
soft-queens;soft-queens-16.dzn;0;1;1;1;4;0.132941019;2;0;0;0
soft-queens;soft-queens-16.dzn;6;1;1;0;5;0.03572182;3;0;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;4;0.101664299;1;1;0;1
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.09481097;4;1;1;1
soft-queens;soft-queens-16.dzn;1;1;1;0;4;0.160510924;3;0;0;0
soft-queens;soft-queens-30.dzn;6;1;1;0;1;0.028733013;3;1;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;5;0.740157935;1;0;0;1
soft-queens;soft-queens-8.dzn;6;1;1;1;4;0.111548752;1;1;0;1
soft-queens;soft-queens-16.dzn;1;1;1;0;2;0.323307638;4;0;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;4;0.588177055;1;1;0;1
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.159587326;2;0;1;0
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.11020086;4;0;1;0
soft-queens;soft-queens-30.dzn;2;1;1;0;1;0.405298837;3;0;0;0
soft-queens;soft-queens-16.dzn;6;1;1;0;2;0.107845356;1;0;1;1
soft-queens;soft-queens-8.dzn;2;1;1;1;1;0.203655838;3;1;0;0
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.082435613;1;0;1;1
soft-queens;soft-queens-8.dzn;4;1;1;1;1;0.319240846;3;0;1;0
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.081152495;4;0;1;1
soft-queens;soft-queens-30.dzn;0;1;0;5;1;630.00064741;3;0;0;0
soft-queens;soft-queens-30.dzn;6;1;0;5;1;630.000548751;3;0;0;0
soft-queens;soft-queens-8.dzn;3;1;1;1;1;0.024170975;3;0;1;0
soft-queens;soft-queens-30.dzn;2;1;1;0;1;0.455177513;3;1;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;1;0.142559525;3;0;1;0
soft-queens;soft-queens-30.dzn;0;1;1;0;1;0.028387228;3;1;1;0
soft-queens;soft-queens-8.dzn;1;1;1;1;2;0.295031504;1;0;1;1
soft-queens;soft-queens-8.dzn;0;1;1;1;1;0.024707239;3;0;1;0
soft-queens;soft-queens-8.dzn;4;1;1;1;2;0.321004779;3;1;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;4;0.095679102;1;0;0;1
soft-queens;soft-queens-30.dzn;0;1;1;0;2;0.095091464;1;0;1;1
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.174178893;4;0;1;1
soft-queens;soft-queens-16.dzn;5;1;1;0;4;0.045319673;3;1;0;0
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.354630022;1;0;1;1
soft-queens;soft-queens-16.dzn;1;1;1;0;5;0.74728235;4;1;0;1
soft-queens;soft-queens-30.dzn;0;1;0;4;1;630.000569023;3;1;0;0
soft-queens;soft-queens-30.dzn;0;1;1;4;2;10.1062019;1;1;0;1
soft-queens;soft-queens-8.dzn;3;1;1;1;1;0.024300638;3;1;1;0
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.217289993;2;0;1;0
soft-queens;soft-queens-16.dzn;0;1;1;0;4;0.034198937;3;1;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;5;0.689167489;4;0;0;1
soft-queens;soft-queens-30.dzn;4;1;1;0;3;0.367528936;3;0;0;0
soft-queens;soft-queens-8.dzn;6;1;1;1;4;0.026070776;3;0;0;0
soft-queens;soft-queens-30.dzn;0;1;1;5;2;10.103308593;1;0;0;1
soft-queens;soft-queens-8.dzn;4;1;1;1;2;0.324846984;3;0;0;0
soft-queens;soft-queens-8.dzn;1;1;1;1;4;0.560949905;4;1;0;1
soft-queens;soft-queens-8.dzn;6;1;1;1;4;0.101438411;4;1;0;1
soft-queens;soft-queens-16.dzn;0;1;1;0;6;0.141298189;4;0;0;1
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.090904006;4;0;1;0
soft-queens;soft-queens-16.dzn;4;0;0;2147483647;0;0.339752705;3;0;1;0
soft-queens;soft-queens-8.dzn;5;1;1;1;4;0.027755687;3;0;0;0
soft-queens;soft-queens-30.dzn;6;1;1;2;3;10.20774542;4;1;0;1
soft-queens;soft-queens-16.dzn;0;1;1;0;5;0.034684967;3;0;0;0
soft-queens;soft-queens-16.dzn;6;1;1;0;5;0.142408108;4;0;0;1
soft-queens;soft-queens-16.dzn;0;1;1;0;5;0.124081567;4;1;0;1
soft-queens;soft-queens-30.dzn;5;1;0;4;1;630.000587343;3;1;0;0
soft-queens;soft-queens-30.dzn;0;1;1;5;2;10.105814018;4;0;0;0
soft-queens;soft-queens-30.dzn;6;1;0;4;1;630.000588518;3;1;0;0
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.077895493;1;0;1;1
soft-queens;soft-queens-30.dzn;1;1;1;2;3;10.431753373;1;1;0;1
soft-queens;soft-queens-30.dzn;1;1;1;0;2;0.377461768;4;0;1;0
soft-queens;soft-queens-8.dzn;5;1;1;1;1;0.024831637;3;1;1;0
soft-queens;soft-queens-8.dzn;6;1;1;1;2;0.087529039;2;0;1;0
soft-queens;soft-queens-16.dzn;0;1;1;0;2;0.084493738;1;1;1;1
soft-queens;soft-queens-30.dzn;4;0;0;2147483647;0;0.366252643;3;0;1;0
soft-queens;soft-queens-16.dzn;1;1;1;0;5;0.741417599;4;0;0;1
soft-queens;soft-queens-8.dzn;0;1;1;1;2;0.080271165;1;1;1;1
soft-queens;soft-queens-30.dzn;6;1;1;0;2;0.181562105;4;0;1;0
soft-queens;soft-queens-30.dzn;6;1;1;2;4;10.245972655;4;0;0;0
soft-queens;soft-queens-8.dzn;6;1;1;1;1;0.025985869;3;0;1;0
soft-queens;soft-queens-16.dzn;0;1;1;0;1;0.025041618;3;0;1;0
soft-queens;soft-queens-30.dzn;4;1;1;0;3;0.376115529;3;1;0;0
