MifElapsed;MifToNorm;NormalElapsed;NormToMif
0.29;0.966666666666667;0.3;1.03448275862069
0.3;1.0;0.3;1.0
0.3;1.0;0.3;1.0
0.3;1.03448275862069;0.29;0.966666666666667
0.48;1.0;0.48;1.0
0.64;0.96969696969697;0.66;1.03125
68.51;0.935673313302376;73.22;1.06874908772442
0.3;1.0;0.3;1.0
0.3;0.909090909090909;0.33;1.1
0.3;1.0;0.3;1.0
0.3;1.0;0.3;1.0
0.57;1.07547169811321;0.53;0.929824561403509
2.24;3.39393939393939;0.66;0.294642857142857
521.71;0.966666666666667;539.7;1.03448275862069
0.31;0.96875;0.32;1.03225806451613
0.31;1.0;0.31;1.0
0.32;1.0;0.32;1.0
0.32;1.0;0.32;1.0
0.52;1.0;0.52;1.0
0.68;0.971428571428572;0.7;1.02941176470588
540.04;0.999925936898237;540.08;1.00007406858751
0.76;1.0;0.76;1.0
0.76;1.0;0.76;1.0
0.77;1.0;0.77;1.0
0.77;1.0;0.77;1.0
1.0;0.99009900990099;1.01;1.01
4.83;4.2;1.15;0.238095238095238
324.79;0.95706624233852;339.36;1.04485975553435
0.2;1.0;0.2;1.0
0.2;1.0;0.2;1.0
0.21;0.875;0.24;1.14285714285714
0.21;1.0;0.21;1.0
0.41;0.976190476190476;0.42;1.02439024390244
0.6;0.9375;0.64;1.06666666666667
287.21;0.987756646146439;290.77;1.01239511159082
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.33;1.03125;0.32;0.96969696969697
0.53;1.0;0.53;1.0
168.21;0.988540197461213;170.16;1.01159265204209
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.18;1.0;0.18;1.0
0.33;0.970588235294118;0.34;1.03030303030303
0.54;0.981818181818182;0.55;1.01851851851852
6.56;0.922644163150492;7.11;1.08384146341463
0.31;1.0;0.31;1.0
0.31;1.0;0.31;1.0
0.32;1.0;0.32;1.0
0.32;1.0;0.32;1.0
0.5;1.0;0.5;1.0
0.68;0.971428571428572;0.7;1.02941176470588
539.98;0.999888897118732;540.04;1.00011111522649
